month;year;days;report_date;journey_type;journeys_millions
2;2011;28;06/30/2011;TfL Rail;
3;2011;31;06/30/2011;TfL Rail;
4;2011;30;09/30/2011;TfL Rail;
5;2011;31;09/30/2011;TfL Rail;
6;2011;30;09/30/2011;TfL Rail;
7;2011;31;12/31/2011;TfL Rail;
8;2011;31;12/31/2011;TfL Rail;
9;2011;30;12/31/2011;TfL Rail;
10;2011;31;03/31/2012;TfL Rail;
11;2011;30;03/31/2012;TfL Rail;
12;2011;31;03/31/2012;TfL Rail;
1;2012;31;06/30/2012;TfL Rail;
2;2012;29;06/30/2012;TfL Rail;
3;2012;31;06/30/2012;TfL Rail;
4;2012;30;09/30/2012;TfL Rail;
5;2012;31;09/30/2012;TfL Rail;
6;2012;30;09/30/2012;TfL Rail;
7;2012;31;12/31/2012;TfL Rail;
8;2012;31;12/31/2012;TfL Rail;
9;2012;30;12/31/2012;TfL Rail;
10;2012;31;03/31/2013;TfL Rail;
11;2012;30;03/31/2013;TfL Rail;
12;2012;31;03/31/2013;TfL Rail;
1;2013;31;06/30/2013;TfL Rail;
2;2013;28;06/30/2013;TfL Rail;
3;2013;31;06/30/2013;TfL Rail;
4;2013;30;09/30/2013;TfL Rail;
5;2013;31;09/30/2013;TfL Rail;
6;2013;30;09/30/2013;TfL Rail;
7;2013;31;12/31/2013;TfL Rail;
8;2013;31;12/31/2013;TfL Rail;
9;2013;30;12/31/2013;TfL Rail;
10;2013;31;03/31/2014;TfL Rail;
11;2013;30;03/31/2014;TfL Rail;
12;2013;31;03/31/2014;TfL Rail;
1;2014;31;06/30/2014;TfL Rail;2.854.854.521
2;2014;28;06/30/2014;TfL Rail;
3;2014;31;06/30/2014;TfL Rail;
4;2014;30;09/30/2014;TfL Rail;
5;2014;31;09/30/2014;TfL Rail;
6;2014;30;09/30/2014;TfL Rail;
7;2014;31;12/31/2014;TfL Rail;
8;2014;31;12/31/2014;TfL Rail;
9;2014;30;12/31/2014;TfL Rail;
10;2014;31;03/31/2015;TfL Rail;
11;2014;30;03/31/2015;TfL Rail;
12;2014;31;03/31/2015;TfL Rail;
1;2015;31;06/30/2015;TfL Rail;
2;2015;28;06/30/2015;TfL Rail;
3;2015;31;06/30/2015;TfL Rail;3.619.042.039
4;2015;30;09/30/2015;TfL Rail;3.774.568.028
5;2015;31;09/30/2015;TfL Rail;3.670.933.403
6;2015;30;09/30/2015;TfL Rail;3.733.603.486
7;2015;31;12/31/2015;TfL Rail;4.143.011.094
8;2015;31;12/31/2015;TfL Rail;4.150.729.505
9;2015;30;12/31/2015;TfL Rail;4.179.697.757
10;2015;31;03/31/2016;TfL Rail;2.964.734.366
11;2015;30;03/31/2016;TfL Rail;3.767.157.214
12;2015;31;03/31/2016;TfL Rail;3.234.045.687
1;2016;31;06/30/2016;TfL Rail;399.836.286
2;2016;29;06/30/2016;TfL Rail;3.694.140.364
3;2016;31;06/30/2016;TfL Rail;3.508.856.093
4;2016;30;09/30/2016;TfL Rail;3.808.085.695
5;2016;31;09/30/2016;TfL Rail;3.588.850.528
6;2016;30;09/30/2016;TfL Rail;3.469.032.082
7;2016;31;12/31/2016;TfL Rail;3.738.489.267
8;2016;31;12/31/2016;TfL Rail;3.826.849.348
9;2016;30;12/31/2016;TfL Rail;4.011.194.419
10;2016;31;03/31/2017;TfL Rail;3.324.919.393
11;2016;30;03/31/2017;TfL Rail;3.768.952.394
12;2016;31;03/31/2017;TfL Rail;3.586.700.892
1;2017;31;06/30/2017;TfL Rail;3.290.075.087
2;2017;28;06/30/2017;TfL Rail;3.516.487.515
3;2017;31;06/30/2017;TfL Rail;338.090.789
4;2017;30;09/30/2017;TfL Rail;3.708.985.052
5;2017;31;09/30/2017;TfL Rail;3.465.754.813
6;2017;30;09/30/2017;TfL Rail;3.295.722.397
7;2017;31;12/31/2017;TfL Rail;3.838.819.483
8;2017;31;12/31/2017;TfL Rail;3.734.557.827
9;2017;30;12/31/2017;TfL Rail;3.878.285.941
10;2017;31;03/31/2018;TfL Rail;2.872.382.665
11;2017;30;03/31/2018;TfL Rail;3.676.614.535
12;2017;31;03/31/2018;TfL Rail;3.379.773.701
1;2018;31;06/30/2018;TfL Rail;3.546.085.812
2;2018;28;06/30/2018;TfL Rail;367.820.478
3;2018;31;06/30/2018;TfL Rail;4.167.131.236
4;2018;30;09/30/2018;TfL Rail;4.478.725.836
5;2018;31;09/30/2018;TfL Rail;4.104.271.931
6;2018;30;09/30/2018;TfL Rail;4.140.986.788
7;2018;31;12/31/2018;TfL Rail;4.722.366.976
8;2018;31;12/31/2018;TfL Rail;4.684.184.207
9;2018;30;12/31/2018;TfL Rail;462.602.119
10;2018;31;03/31/2019;TfL Rail;3.859.436.726
11;2018;30;03/31/2019;TfL Rail;456.039.029
12;2018;31;03/31/2019;TfL Rail;4.397.425.641
1;2019;31;06/30/2019;TfL Rail;4.323.124.821
2;2019;28;06/30/2019;TfL Rail;447.809.398
3;2019;31;06/30/2019;TfL Rail;4.385.749.612
4;2019;30;09/30/2019;TfL Rail;4.628.816.499
5;2019;31;09/30/2019;TfL Rail;4.281.006.498
6;2019;30;09/30/2019;TfL Rail;4.260.005.959
7;2019;31;12/31/2019;TfL Rail;4.861.940.962
8;2019;31;12/31/2019;TfL Rail;4.895.068.741
9;2019;30;12/31/2019;TfL Rail;4.963.376.783
10;2019;31;03/31/2020;TfL Rail;4.346.181.188
11;2019;30;03/31/2020;TfL Rail;5.668.711.093
12;2019;31;03/31/2020;TfL Rail;5.240.511.429
1;2020;31;06/30/2020;TfL Rail;0.5946148387
2;2020;29;06/30/2020;TfL Rail;0.7002181766
3;2020;31;06/30/2020;TfL Rail;115.834.799
4;2020;30;09/30/2020;TfL Rail;1.636.938.471
5;2020;31;09/30/2020;TfL Rail;1.951.687.613
6;2020;30;09/30/2020;TfL Rail;2.221.982.734
7;2020;31;12/31/2020;TfL Rail;247.825.691
8;2020;31;12/31/2020;TfL Rail;2.123.956.284
9;2020;30;12/31/2020;TfL Rail;2.076.430.425
10;2020;31;03/31/2021;TfL Rail;1.218.441.048
11;2020;30;03/31/2021;TfL Rail;1.154.206.467
12;2020;31;03/31/2021;TfL Rail;1.363.278.027
1;2021;31;06/30/2021;TfL Rail;2.120.411.056
2;2021;28;06/30/2021;TfL Rail;2.312.614.833
3;2021;31;06/30/2021;TfL Rail;2.714.845.605
4;2021;30;09/30/2021;TfL Rail;2.806.712.186
5;2021;31;09/30/2021;TfL Rail;2.Aðu
6;2021;30;09/30/2021;TfL Rail;3.097.643
7;2021;31;12/31/2021;TfL Rail;3.Tem
8;2021;31;12/31/2021;TfL Rail;3.Tem
9;2021;30;12/31/2021;TfL Rail;3.Mar
10;2021;31;03/31/2022;TfL Rail;2.Nis
11;2021;30;03/31/2022;TfL Rail;3.Þub
12;2021;31;03/31/2022;TfL Rail;3.Oca
1;2022;31;06/30/2022;TfL Rail;43.747
2;2022;28;06/30/2022;TfL Rail;5.496.774
3;2022;31;06/30/2022;TfL Rail;8.062.123
4;2022;30;09/30/2022;TfL Rail;11.627.377
5;2022;31;09/30/2022;TfL Rail;9.177.708
6;2022;30;09/30/2022;TfL Rail;9.780.669
7;2022;31;12/31/2022;TfL Rail;11.049.603
8;2022;31;12/31/2022;TfL Rail;1.251.585
9;2022;30;12/31/2022;TfL Rail;15.223.201
10;2022;31;03/31/2023;TfL Rail;8.875.033
11;2022;30;03/31/2023;TfL Rail;1.340.484
12;2022;31;03/31/2023;TfL Rail;14.041.961
